Index,Target Var,Method,CrossValMeans,CrossValerrors,Model
Australian Grand Prix,statusId,Extra Trees,0.7038314176245212,0.061300287309549784,1_3
Australian Grand Prix,statusId,Random Forest,0.7153256704980843,0.036303566543677154,1_3
Australian Grand Prix,statusId,Gradient Boosting,0.7501915708812259,0.011920574088968624,1_3
Australian Grand Prix,statusId,Logistic Regression,0.6137931034482759,0.11304175497144132,1_3
Australian Grand Prix,statusId,KNN,0.7831417624521073,0.06071557943154118,1_3
Australian Grand Prix,statusId,SVC,0.7942528735632184,0.07608813408476031,1_3
Australian Grand Prix,statusId,LDA,0.5256704980842912,0.21499954851152733,1_3
Australian Grand Prix,statusId,MLP,0.6249042145593869,0.1127778282168468,1_3
Australian Grand Prix,statusId,Extra Trees,0.7632632632632633,0.09291802238537547,1_4
Australian Grand Prix,statusId,Random Forest,0.6641641641641641,0.0425101448800522,1_4
Australian Grand Prix,statusId,Gradient Boosting,0.5447947947947949,0.11177925437582738,1_4
Australian Grand Prix,statusId,Logistic Regression,0.6101101101101101,0.0965823325758112,1_4
Australian Grand Prix,statusId,KNN,0.7812812812812813,0.06076084321548251,1_4
Australian Grand Prix,statusId,SVC,0.7992992992992992,0.07013081879714918,1_4
Australian Grand Prix,statusId,LDA,0.6281281281281282,0.13841169182938884,1_4
Australian Grand Prix,statusId,MLP,0.6914414414414415,0.12824000761699786,1_4
Australian Grand Prix,statusId,Extra Trees,0.7878787878787877,0.04670010608309831,1_5
Australian Grand Prix,statusId,Random Forest,0.7954545454545455,0.018556740475630166,1_5
Australian Grand Prix,statusId,Gradient Boosting,0.6818181818181818,0.12168468488037132,1_5
Australian Grand Prix,statusId,Logistic Regression,0.4924242424242424,0.10873257647278275,1_5
Australian Grand Prix,statusId,KNN,0.8333333333333334,0.06516913081092898,1_5
Australian Grand Prix,statusId,SVC,0.8333333333333334,0.06516913081092898,1_5
Australian Grand Prix,statusId,LDA,0.537878787878788,0.19842122505619386,1_5
Australian Grand Prix,statusId,MLP,0.7196969696969697,0.059651574803119785,1_5
Chinese Grand Prix,statusId,Extra Trees,0.6744663382594417,0.09858543398321522,1_3
Chinese Grand Prix,statusId,Random Forest,0.7680623973727423,0.056635370836762844,1_3
Chinese Grand Prix,statusId,Gradient Boosting,0.7344006568144499,0.11204565580377973,1_3
Chinese Grand Prix,statusId,Logistic Regression,0.6884236453201971,0.14727265378311996,1_3
Chinese Grand Prix,statusId,KNN,0.722495894909688,0.11061523673628434,1_3
Chinese Grand Prix,statusId,SVC,0.7684729064039408,0.0687305403496103,1_3
Chinese Grand Prix,statusId,LDA,0.6658456486042693,0.19866262122434913,1_3
Chinese Grand Prix,statusId,MLP,0.7463054187192117,0.13192102284493054,1_3
Chinese Grand Prix,statusId,Extra Trees,0.7314814814814815,0.06928995160692487,1_4
Chinese Grand Prix,statusId,Random Forest,0.7407407407407408,0.026189140043946214,1_4
Chinese Grand Prix,statusId,Gradient Boosting,0.7962962962962964,0.057077907434897955,1_4
Chinese Grand Prix,statusId,Logistic Regression,0.7777777777777778,0.07856742013183865,1_4
Chinese Grand Prix,statusId,KNN,0.8240740740740741,0.05707790743489791,1_4
Chinese Grand Prix,statusId,SVC,0.8240740740740741,0.05707790743489791,1_4
Chinese Grand Prix,statusId,LDA,0.7870370370370371,0.09166199015381171,1_4
Chinese Grand Prix,statusId,MLP,0.7314814814814815,0.10718367502583541,1_4
Chinese Grand Prix,statusId,Extra Trees,0.8225863284002819,0.058957556987189116,1_5
Chinese Grand Prix,statusId,Random Forest,0.7919309372797745,0.039496645700126294,1_5
Chinese Grand Prix,statusId,Gradient Boosting,0.7993305144467935,0.06226974360850721,1_5
Chinese Grand Prix,statusId,Logistic Regression,0.7922832980972516,0.019120242153106065,1_5
Chinese Grand Prix,statusId,KNN,0.8303382663847779,0.06182953489202591,1_5
Chinese Grand Prix,statusId,SVC,0.8225863284002819,0.058957556987189116,1_5
Chinese Grand Prix,statusId,LDA,0.6700140944326991,0.07200629308065966,1_5
Chinese Grand Prix,statusId,MLP,0.7921071176885132,0.03392925473491397,1_5
Bahrain Grand Prix,statusId,Extra Trees,0.6666666666666666,0.016835875742536838,1_3
Bahrain Grand Prix,statusId,Random Forest,0.7142857142857143,0.0583211843519804,1_3
Bahrain Grand Prix,statusId,Gradient Boosting,0.7023809523809524,0.044543540318737376,1_3
Bahrain Grand Prix,statusId,Logistic Regression,0.6428571428571429,0.029160592175990246,1_3
Bahrain Grand Prix,statusId,KNN,0.6785714285714285,0.05050762722761052,1_3
Bahrain Grand Prix,statusId,SVC,0.7380952380952381,0.06734350297014735,1_3
Bahrain Grand Prix,statusId,LDA,0.6785714285714285,0.0291605921759902,1_3
Bahrain Grand Prix,statusId,MLP,0.7023809523809524,0.044543540318737376,1_3
Bahrain Grand Prix,statusId,Extra Trees,0.6423280423280423,0.06135741381724538,1_4
Bahrain Grand Prix,statusId,Random Forest,0.7357142857142858,0.015430334996209187,1_4
Bahrain Grand Prix,statusId,Gradient Boosting,0.6698412698412698,0.01187827741832998,1_4
Bahrain Grand Prix,statusId,Logistic Regression,0.632010582010582,0.02383009105796518,1_4
Bahrain Grand Prix,statusId,KNN,0.6883597883597883,0.026634313118842786,1_4
Bahrain Grand Prix,statusId,SVC,0.7359788359788361,0.0252752823544893,1_4
Bahrain Grand Prix,statusId,LDA,0.5576719576719577,0.08737691154854188,1_4
Bahrain Grand Prix,statusId,MLP,0.5851851851851851,0.03135562410588159,1_4
Bahrain Grand Prix,statusId,Extra Trees,0.680140273163529,0.05587137013255709,1_5
Bahrain Grand Prix,statusId,Random Forest,0.6258767072720561,0.09246604606225463,1_5
Bahrain Grand Prix,statusId,Gradient Boosting,0.6175710594315245,0.04490477311881851,1_5
Bahrain Grand Prix,statusId,Logistic Regression,0.5795496493170912,0.17206592552499572,1_5
Bahrain Grand Prix,statusId,KNN,0.7033960871170173,0.08890027814880415,1_5
Bahrain Grand Prix,statusId,SVC,0.7733480989294943,0.06694980848380472,1_5
Bahrain Grand Prix,statusId,LDA,0.5640457733480989,0.19298004346533387,1_5
Bahrain Grand Prix,statusId,MLP,0.61812476928756,0.0929444872670693,1_5
Russian Grand Prix,statusId,Extra Trees,0.48721340388007045,0.11125973375226496,1_3
Russian Grand Prix,statusId,Random Forest,0.5599647266313933,0.10800939315063565,1_3
Russian Grand Prix,statusId,Gradient Boosting,0.583774250440917,0.1521464326362589,1_3
Russian Grand Prix,statusId,Logistic Regression,0.5357142857142857,0.1172756624088728,1_3
Russian Grand Prix,statusId,KNN,0.6212522045855379,0.0505691750063968,1_3
Russian Grand Prix,statusId,SVC,0.7191358024691358,0.06429835387654215,1_3
Russian Grand Prix,statusId,LDA,0.5956790123456789,0.16290917556045245,1_3
Russian Grand Prix,statusId,MLP,0.5357142857142857,0.1172756624088728,1_3
Russian Grand Prix,statusId,Extra Trees,0.538375350140056,0.024174172560662656,1_4
Russian Grand Prix,statusId,Random Forest,0.6624649859943977,0.07690899458684748,1_4
Russian Grand Prix,statusId,Gradient Boosting,0.6330532212885154,0.11488009330201614,1_4
Russian Grand Prix,statusId,Logistic Regression,0.5593837535014006,0.1487914472461227,1_4
Russian Grand Prix,statusId,KNN,0.6053221288515406,0.032879474979542536,1_4
Russian Grand Prix,statusId,SVC,0.711484593837535,0.04682481500048598,1_4
Russian Grand Prix,statusId,LDA,0.5305322128851541,0.14846044077632267,1_4
Russian Grand Prix,statusId,MLP,0.6439775910364146,0.02984738096352377,1_4
Russian Grand Prix,statusId,Extra Trees,0.5793650793650794,0.1294405272246039,1_5
Russian Grand Prix,statusId,Random Forest,0.6507936507936507,0.09784784131696786,1_5
Russian Grand Prix,statusId,Gradient Boosting,0.6825396825396824,0.07856742013183865,1_5
Russian Grand Prix,statusId,Logistic Regression,0.6349206349206349,0.11391031820958196,1_5
Russian Grand Prix,statusId,KNN,0.7063492063492064,0.029695693545824964,1_5
Russian Grand Prix,statusId,SVC,0.7222222222222223,0.022447834323382487,1_5
Russian Grand Prix,statusId,LDA,0.5873015873015873,0.1806318520117626,1_5
Russian Grand Prix,statusId,MLP,0.6349206349206349,0.08093681767607594,1_5
Spanish Grand Prix,statusId,Extra Trees,0.6344797178130511,0.02454130520295546,1_3
Spanish Grand Prix,statusId,Random Forest,0.6216931216931217,0.02127396487092564,1_3
Spanish Grand Prix,statusId,Gradient Boosting,0.7314814814814815,0.020002286106197083,1_3
Spanish Grand Prix,statusId,Logistic Regression,0.5229276895943563,0.1136095463211639,1_3
Spanish Grand Prix,statusId,KNN,0.6212522045855379,0.04053081197277392,1_3
Spanish Grand Prix,statusId,SVC,0.7314814814814814,0.04721314364437766,1_3
Spanish Grand Prix,statusId,LDA,0.5335097001763669,0.21548896108538945,1_3
Spanish Grand Prix,statusId,MLP,0.4735449735449735,0.20493113788213646,1_3
Spanish Grand Prix,statusId,Extra Trees,0.6274509803921569,0.03668291555660728,1_4
Spanish Grand Prix,statusId,Random Forest,0.6960784313725491,0.013864838846795053,1_4
Spanish Grand Prix,statusId,Gradient Boosting,0.715686274509804,0.027729677693590107,1_4
Spanish Grand Prix,statusId,Logistic Regression,0.6274509803921569,0.0909178283872128,1_4
Spanish Grand Prix,statusId,KNN,0.6274509803921569,0.0909178283872128,1_4
Spanish Grand Prix,statusId,SVC,0.7254901960784315,0.036682915556607236,1_4
Spanish Grand Prix,statusId,LDA,0.676470588235294,1.1102230246251565e-16,1_4
Spanish Grand Prix,statusId,MLP,0.6078431372549019,0.16346403922091243,1_4
Spanish Grand Prix,statusId,Extra Trees,0.6848625629113435,0.10487461170725261,1_5
Spanish Grand Prix,statusId,Random Forest,0.6535036778939217,0.07383650390904485,1_5
Spanish Grand Prix,statusId,Gradient Boosting,0.6126596980255518,0.0367187803938147,1_5
Spanish Grand Prix,statusId,Logistic Regression,0.6929926442121565,0.09338024036374809,1_5
Spanish Grand Prix,statusId,KNN,0.7175764614789006,0.024639387749344672,1_5
Spanish Grand Prix,statusId,SVC,0.7340301974448314,0.03297344847056539,1_5
Spanish Grand Prix,statusId,LDA,0.7017034456058847,0.021438632433543818,1_5
Spanish Grand Prix,statusId,MLP,0.6444057297715834,0.12800659854206775,1_5
Monaco Grand Prix,statusId,Extra Trees,0.7076719576719577,0.025535153854621236,1_3
Monaco Grand Prix,statusId,Random Forest,0.7076719576719577,0.04980997456021888,1_3
Monaco Grand Prix,statusId,Gradient Boosting,0.6459435626102293,0.0647322777693782,1_3
Monaco Grand Prix,statusId,Logistic Regression,0.7314814814814815,0.07672717836207438,1_3
Monaco Grand Prix,statusId,KNN,0.7195767195767196,0.015576297824211346,1_3
Monaco Grand Prix,statusId,SVC,0.7319223985890652,0.012471019068545783,1_3
Monaco Grand Prix,statusId,LDA,0.6825396825396824,0.03766165168265013,1_3
Monaco Grand Prix,statusId,MLP,0.6829805996472663,0.01543839629630654,1_3
Monaco Grand Prix,statusId,Extra Trees,0.5686274509803922,0.027729677693590107,1_4
Monaco Grand Prix,statusId,Random Forest,0.5686274509803922,0.04999038738816457,1_4
Monaco Grand Prix,statusId,Gradient Boosting,0.6470588235294118,0.06353667351380256,1_4
Monaco Grand Prix,statusId,Logistic Regression,0.6176470588235294,0.08658589084635146,1_4
Monaco Grand Prix,statusId,KNN,0.7058823529411765,0.02401460532140371,1_4
Monaco Grand Prix,statusId,SVC,0.7254901960784315,0.02772967769359005,1_4
Monaco Grand Prix,statusId,LDA,0.6078431372549019,0.09091782838721281,1_4
Monaco Grand Prix,statusId,MLP,0.6176470588235294,0.09605842128561484,1_4
Monaco Grand Prix,statusId,Extra Trees,0.6800813008130081,0.036671082963720014,1_5
Monaco Grand Prix,statusId,Random Forest,0.6475609756097561,0.010105530808663468,1_5
Monaco Grand Prix,statusId,Gradient Boosting,0.6302845528455284,0.07706495874058722,1_5
Monaco Grand Prix,statusId,Logistic Regression,0.6146341463414635,0.05085039275158338,1_5
Monaco Grand Prix,statusId,KNN,0.6227642276422763,0.06187413850549736,1_5
Monaco Grand Prix,statusId,SVC,0.7215447154471545,0.020120924667909906,1_5
Monaco Grand Prix,statusId,LDA,0.6146341463414635,0.05085039275158338,1_5
Monaco Grand Prix,statusId,MLP,0.6065040650406505,0.040093749612806345,1_5
Canadian Grand Prix,statusId,Extra Trees,0.6327160493827161,0.08429938446757816,1_3
Canadian Grand Prix,statusId,Random Forest,0.6701940035273369,0.055042280544364164,1_3
Canadian Grand Prix,statusId,Gradient Boosting,0.6710758377425045,0.04955563075212384,1_3
Canadian Grand Prix,statusId,Logistic Regression,0.6450617283950617,0.11720270090152794,1_3
Canadian Grand Prix,statusId,KNN,0.6820987654320988,0.11622327397384404,1_3
Canadian Grand Prix,statusId,SVC,0.7561728395061729,0.0157377145481259,1_3
Canadian Grand Prix,statusId,LDA,0.44753086419753085,0.23232357119208413,1_3
Canadian Grand Prix,statusId,MLP,0.7442680776014109,0.02604025231081729,1_3
Canadian Grand Prix,statusId,Extra Trees,0.6764705882352943,0.04159451654038516,1_4
Canadian Grand Prix,statusId,Random Forest,0.6568627450980392,0.013864838846795053,1_4
Canadian Grand Prix,statusId,Gradient Boosting,0.6862745098039215,0.03668291555660728,1_4
Canadian Grand Prix,statusId,Logistic Regression,0.6568627450980392,0.0909178283872128,1_4
Canadian Grand Prix,statusId,KNN,0.6960784313725491,0.013864838846795053,1_4
Canadian Grand Prix,statusId,SVC,0.7450980392156863,0.03668291555660723,1_4
Canadian Grand Prix,statusId,LDA,0.5686274509803922,0.23570226039551587,1_4
Canadian Grand Prix,statusId,MLP,0.6470588235294118,0.06353667351380256,1_4
Canadian Grand Prix,statusId,Extra Trees,0.6806910569105691,0.05067542348948963,1_5
Canadian Grand Prix,statusId,Random Forest,0.6392276422764227,0.05079267886016178,1_5
Canadian Grand Prix,statusId,Gradient Boosting,0.6640243902439025,0.021373379155062232,1_5
Canadian Grand Prix,statusId,Logistic Regression,0.7378048780487805,0.040751905804397186,1_5
Canadian Grand Prix,statusId,KNN,0.7378048780487805,0.02170137856103927,1_5
Canadian Grand Prix,statusId,SVC,0.7540650406504065,0.0399326884235539,1_5
Canadian Grand Prix,statusId,LDA,0.7213414634146341,0.010287846125889248,1_5
Canadian Grand Prix,statusId,MLP,0.6965447154471546,0.025073426443077196,1_5
Azerbaijan Grand Prix,statusId,Extra Trees,0.6327160493827161,0.08429938446757816,1_3
Azerbaijan Grand Prix,statusId,Random Forest,0.5965608465608466,0.05799023866873802,1_3
Azerbaijan Grand Prix,statusId,Gradient Boosting,0.5850970017636684,0.021717125848368136,1_3
Azerbaijan Grand Prix,statusId,Logistic Regression,0.6820987654320988,0.08955937116386979,1_3
Azerbaijan Grand Prix,statusId,KNN,0.6693121693121693,0.09398052734566989,1_3
Azerbaijan Grand Prix,statusId,SVC,0.7548500881834214,0.14093906895243064,1_3
Azerbaijan Grand Prix,statusId,LDA,0.6944444444444445,0.09886183566695657,1_3
Azerbaijan Grand Prix,statusId,MLP,0.6574074074074074,0.0796511598800243,1_3
Azerbaijan Grand Prix,statusId,Extra Trees,0.6568627450980392,0.0909178283872128,1_4
Azerbaijan Grand Prix,statusId,Random Forest,0.6176470588235294,0.10467723776501288,1_4
Azerbaijan Grand Prix,statusId,Gradient Boosting,0.5490196078431372,0.09998077477632913,1_4
Azerbaijan Grand Prix,statusId,Logistic Regression,0.6960784313725491,0.07719615562756676,1_4
Azerbaijan Grand Prix,statusId,KNN,0.7156862745098039,0.09091782838721274,1_4
Azerbaijan Grand Prix,statusId,SVC,0.7647058823529411,0.0,1_4
Azerbaijan Grand Prix,statusId,LDA,0.6960784313725489,0.09705387192756532,1_4
Azerbaijan Grand Prix,statusId,MLP,0.7156862745098039,0.04999038738816453,1_4
Azerbaijan Grand Prix,statusId,Extra Trees,0.6317073170731707,0.11970285107723307,1_5
Azerbaijan Grand Prix,statusId,Random Forest,0.6398373983739837,0.0903061383581259,1_5
Azerbaijan Grand Prix,statusId,Gradient Boosting,0.5981707317073172,0.043067374321104586,1_5
Azerbaijan Grand Prix,statusId,Logistic Regression,0.7217479674796747,0.038949156816414275,1_5
Azerbaijan Grand Prix,statusId,KNN,0.6810975609756098,0.1037027643571582,1_5
Azerbaijan Grand Prix,statusId,SVC,0.7461382113821138,0.02040836644888005,1_5
Azerbaijan Grand Prix,statusId,LDA,0.6892276422764229,0.09239409065860815,1_5
Azerbaijan Grand Prix,statusId,MLP,0.6723577235772357,0.06285977814659417,1_5
Austrian Grand Prix,statusId,Extra Trees,0.5379188712522046,0.07732031822498403,1_3
Austrian Grand Prix,statusId,Random Forest,0.5493827160493828,0.05724455861417103,1_3
Austrian Grand Prix,statusId,Gradient Boosting,0.5617283950617283,0.07458670354070722,1_3
Austrian Grand Prix,statusId,Logistic Regression,0.5749559082892416,0.10460799030925516,1_3
Austrian Grand Prix,statusId,KNN,0.6115520282186949,0.10522503169454218,1_3
Austrian Grand Prix,statusId,SVC,0.6948853615520282,0.020415938100159153,1_3
Austrian Grand Prix,statusId,LDA,0.5978835978835978,0.04906676452643228,1_3
Austrian Grand Prix,statusId,MLP,0.572310405643739,0.05212527938670779,1_3
Austrian Grand Prix,statusId,Extra Trees,0.5588235294117646,0.07204381596421114,1_4
Austrian Grand Prix,statusId,Random Forest,0.6176470588235294,0.04802921064280742,1_4
Austrian Grand Prix,statusId,Gradient Boosting,0.5980392156862745,0.027729677693590107,1_4
Austrian Grand Prix,statusId,Logistic Regression,0.607843137254902,0.08433652222590814,1_4
Austrian Grand Prix,statusId,KNN,0.6666666666666666,0.027729677693590107,1_4
Austrian Grand Prix,statusId,SVC,0.7156862745098039,0.03668291555660723,1_4
Austrian Grand Prix,statusId,LDA,0.607843137254902,0.013864838846795053,1_4
Austrian Grand Prix,statusId,MLP,0.5784313725490197,0.07719615562756679,1_4
Austrian Grand Prix,statusId,Extra Trees,0.7044715447154472,0.07108360273344524,1_5
Austrian Grand Prix,statusId,Random Forest,0.7209349593495936,0.059444878405485894,1_5
Austrian Grand Prix,statusId,Gradient Boosting,0.6642276422764227,0.03914277436491292,1_5
Austrian Grand Prix,statusId,Logistic Regression,0.6398373983739838,0.05827629573156883,1_5
Austrian Grand Prix,statusId,KNN,0.6963414634146341,0.05960242393664487,1_5
Austrian Grand Prix,statusId,SVC,0.7290650406504066,0.05520753243220493,1_5
Austrian Grand Prix,statusId,LDA,0.6477642276422765,0.027703483169230672,1_5
Austrian Grand Prix,statusId,MLP,0.6150406504065041,0.05558562211056679,1_5
British Grand Prix,statusId,Extra Trees,0.5714285714285715,0.14631008925542252,1_3
British Grand Prix,statusId,Random Forest,0.6582892416225748,0.020840039326448803,1_3
British Grand Prix,statusId,Gradient Boosting,0.646384479717813,0.015324644794517403,1_3
British Grand Prix,statusId,Logistic Regression,0.5714285714285715,0.14631008925542252,1_3
British Grand Prix,statusId,KNN,0.6948853615520282,0.10672744458841105,1_3
British Grand Prix,statusId,SVC,0.7319223985890652,0.012471019068545783,1_3
British Grand Prix,statusId,LDA,0.5357142857142857,0.1172756624088728,1_3
British Grand Prix,statusId,MLP,0.5476190476190476,0.12545002183167164,1_3
British Grand Prix,statusId,Extra Trees,0.6274509803921569,0.05545935538718021,1_4
British Grand Prix,statusId,Random Forest,0.6176470588235294,0.07204381596421114,1_4
British Grand Prix,statusId,Gradient Boosting,0.7058823529411765,0.02401460532140371,1_4
British Grand Prix,statusId,Logistic Regression,0.5098039215686275,0.06043543140165665,1_4
British Grand Prix,statusId,KNN,0.6568627450980392,0.03668291555660728,1_4
British Grand Prix,statusId,SVC,0.7156862745098039,0.04999038738816453,1_4
British Grand Prix,statusId,LDA,0.6274509803921569,0.06043543140165665,1_4
British Grand Prix,statusId,MLP,0.5980392156862745,0.06932419423397526,1_4
British Grand Prix,statusId,Extra Trees,0.6810975609756098,0.08932042326975081,1_5
British Grand Prix,statusId,Random Forest,0.6479674796747967,0.038116124129206626,1_5
British Grand Prix,statusId,Gradient Boosting,0.7132113821138212,0.040692051838425045,1_5
British Grand Prix,statusId,Logistic Regression,0.6884146341463415,0.013752219369135954,1_5
British Grand Prix,statusId,KNN,0.6973577235772357,0.06782712489146485,1_5
British Grand Prix,statusId,SVC,0.7296747967479674,0.017484400949273646,1_5
British Grand Prix,statusId,LDA,0.5646341463414634,0.08638761340695042,1_5
British Grand Prix,statusId,MLP,0.6560975609756098,0.03688226413728049,1_5
Hungarian Grand Prix,statusId,Extra Trees,0.7945326278659612,0.11644887094795901,1_3
